sorting.id,FY,hyperlink,Department,titles,links,service,program,reserve.or.not,amended.or.not
43,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Research & Development, Navy (BA 6)",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/rdten/RDTEN_BA_6_book.PDF,Navy,RDT.E,not.reserve,not.amended
44,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Research & Development, Navy (BA 7)",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/rdten/RDTEN_BA_7_book.PDF,Navy,RDT.E,not.reserve,not.amended
1,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,Budget Highlights Book,http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/highbook/HIGHLIGHTS_book.PDF,NA,summary.docs,not.reserve,PBR.for.this.program.was.amended
2,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,Supporting Exhibits,http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/supp/supp_book.pdf,NA,summary.docs,not.reserve,PBR.for.this.program.was.amended
3,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Military Personnel, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/pers/MPN_book.PDF,Navy,Military.Personnel,not.reserve,PBR.for.this.program.was.amended
4,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Military Personnel, Marine Corps",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/pers/MPMC_book.PDF,Marine.Corps,Military.Personnel,not.reserve,PBR.for.this.program.was.amended
5,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Reserve Personnel, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/pers/RPN_book.PDF,Navy,Military.Personnel,reserve,PBR.for.this.program.was.amended
6,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Reserve Personnel, Marine Corps",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/pers/RPMC_book.PDF,Marine.Corps,Military.Personnel,reserve,PBR.for.this.program.was.amended
7,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Operation & Maintenance, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/ops/OMN_book.PDF,Navy,O.M,not.reserve,PBR.for.this.program.was.amended
8,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Operation & Maintenance, Navy Databook",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/ops/OMN_DATAbook.PDF,Navy,O.M,not.reserve,PBR.for.this.program.was.amended
9,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Operation & Maintenance, Marine Corps",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/ops/OMMC_book.PDF,Marine.Corps,O.M,not.reserve,PBR.for.this.program.was.amended
10,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Operation & Maintenance, Marine Corps Databook",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/ops/OMMC_DATAbook.PDF,Marine.Corps,O.M,not.reserve,PBR.for.this.program.was.amended
11,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Operation & Maintenance, Navy Reserve",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/ops/OMNR_book.PDF,Navy,O.M,reserve,PBR.for.this.program.was.amended
12,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Operation & Maintenance, Marine Corps Reserve",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/ops/OMMCR_book.PDF,Marine.Corps,O.M,reserve,PBR.for.this.program.was.amended
13,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,Navy Working Captial Fund,http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/nwcf/NWCF_book.PDF,Navy,summary.docs,not.reserve,PBR.for.this.program.was.amended
14,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Weapons Procurement, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/WPN_book.PDF,Navy,Procurement.General,not.reserve,PBR.for.this.program.was.amended
